Wall time,Step,Value
1750632371.14848,0,4.48432731628418
1750634606.382995,1,3.7629923820495605
1750636890.23707,2,3.517442226409912
1750639149.8933601,3,3.3807172775268555
1750641343.348047,4,3.3065621852874756
1750643529.9231098,5,3.2629871368408203
1750645794.686304,6,3.239704132080078
1750648101.2390442,7,3.229910373687744
1750650363.3526568,8,3.241615056991577
1750652619.7843251,9,3.190913200378418
1750656967.762392,10,3.1016592979431152
1750661271.727958,11,3.0410385131835938
1750665520.585057,12,3.009328603744507
1750669774.234454,13,2.9884204864501953
1750673984.9646752,14,2.9735829830169678
1750678184.292531,15,2.961824417114258
1750682381.31706,16,2.95274019241333
1750686553.589227,17,2.9454822540283203
1750690784.6460009,18,2.9388856887817383
1750695602.3815339,19,2.9336090087890625
1750701233.219311,20,2.9288313388824463
1750705842.984583,21,2.925161361694336
1750710360.7942688,22,2.921215057373047
1750716082.206906,23,2.9179205894470215
1750720587.083864,24,2.91546368598938
1750725037.9899788,25,2.9129858016967773
1750729396.893383,26,2.9098708629608154
1750733776.534288,27,2.9085488319396973
1750738221.1560059,28,2.905959129333496
1750742708.6763039,29,2.9041709899902344
