Wall time,Step,Value
1750513695.726909,0,4.168796062469482
1750514985.9507,1,3.5498626232147217
1750516298.708396,2,3.385937213897705
1750517591.810358,3,3.2866876125335693
1750518885.955939,4,3.189992904663086
1750520180.033519,5,3.143275499343872
1750521474.176068,6,3.1730546951293945
1750522767.9193249,7,3.1737563610076904
1750542035.493311,8,3.481318235397339
1750543428.10198,9,3.4353036880493164
1750547793.590507,10,3.1064982414245605
1750552335.730495,11,3.03554105758667
1750556730.614615,12,3.002964973449707
1750561135.750268,13,2.982447385787964
1750565414.917825,14,2.9676835536956787
1750569689.9089541,15,2.956284284591675
1750573916.3536901,16,2.9475157260894775
1750578123.218335,17,2.9403586387634277
1750582314.4729521,18,2.934619426727295
1750586526.732241,19,2.929375171661377
1750590694.093346,20,2.9248242378234863
1750594847.352438,21,2.9210140705108643
1750599012.9660952,22,2.9179041385650635
1750603153.176775,23,2.914592981338501
1750607416.40974,24,2.9117836952209473
1750611744.08181,25,2.9093730449676514
1750616158.759497,26,2.906916856765747
1750620626.200702,27,2.9057676792144775
1750625418.3782148,28,2.9032325744628906
1750630090.167115,29,2.9016776084899902
