Wall time,Step,Value
1750117867.7551942,0,3.7190332412719727
1750122118.772188,1,3.18149995803833
1750126451.403994,2,3.078232765197754
1750130680.443696,3,3.0302648544311523
1750134907.800519,4,3.001476764678955
1750139213.399209,5,2.9822638034820557
1750143404.626784,6,2.9680933952331543
1750147564.933099,7,2.9573044776916504
1750151715.1421719,8,2.948808431625366
1750155848.0789561,9,2.941603422164917
1750159971.2616692,10,2.952218532562256
1750164079.575281,11,2.935922145843506
1750168191.7420218,12,2.928865671157837
1750172297.5916102,13,2.924445629119873
1750176453.961837,14,2.920473337173462
1750180850.016053,15,2.916942834854126
1750185154.177082,16,2.914234161376953
1750189391.2774699,17,2.912083387374878
1750193791.2887151,18,2.9088315963745117
1750198091.669888,19,2.906681776046753
1750202651.749294,20,2.904893159866333
1750207163.865692,21,2.9029510021209717
1750211713.375293,22,2.9017179012298584
1750216052.8991191,23,2.8993325233459473
1750220428.1077309,24,2.898499011993408
1750224709.561266,25,2.8970789909362793
1750228955.137394,26,2.8957550525665283
1750233176.7532659,27,2.8942177295684814
1750237381.096981,28,2.893112897872925
1750241562.5282292,29,2.891904592514038
