Wall time,Step,Value
1749978550.906464,0,48.71048355102539
1749982198.575983,1,34.35873794555664
1749986570.565465,2,25.615686416625977
1749990918.8523571,3,22.831928253173828
1749995961.5502348,4,20.793249130249023
1750001056.034306,5,19.962661743164062
1750006899.604214,6,19.140541076660156
1750012834.2390242,7,18.668323516845703
1750019498.535569,8,18.27408790588379
1750026135.227616,9,17.97447967529297
1750030424.814328,10,17.869421005249023
1750034741.0419781,11,17.722238540649414
1750039109.973821,12,17.575319290161133
1750043848.344415,13,17.574447631835938
1750048701.5466409,14,17.354393005371094
1750053246.211863,15,17.31399154663086
1750057533.257897,16,17.21194839477539
1750061807.049879,17,17.228086471557617
1750066096.786062,18,17.149364471435547
1750070333.22556,19,17.173809051513672
1750074521.045703,20,17.086381912231445
1750078718.0762591,21,17.187509536743164
1750082899.14084,22,17.079730987548828
1750087512.1517591,23,17.033306121826172
1750091828.8784692,24,16.973848342895508
1750096276.288867,25,17.029022216796875
1750100481.644755,26,16.918643951416016
1750104739.71748,27,16.91028594970703
1750109186.502416,28,16.98614501953125
1750113609.3979561,29,16.994081497192383
