Wall time,Step,Value
1749863283.332475,0,55.554115295410156
1749864592.20436,1,38.6469612121582
1749866617.4049091,2,28.14055824279785
1749868684.4125981,3,25.03399085998535
1749871473.757462,4,22.157758712768555
1749875060.4778938,5,21.59893035888672
1749878531.7243142,6,20.037084579467773
1749881971.612328,7,19.365510940551758
1749886106.593612,8,18.370973587036133
1749890253.398698,9,18.02777862548828
1749894408.711875,10,17.842618942260742
1749898526.6078122,11,17.59517478942871
1749902645.4080808,12,17.457857131958008
1749906756.764334,13,17.35848617553711
1749910871.8669991,14,17.400739669799805
1749915142.939046,15,17.950729370117188
1749919236.457552,16,17.27395248413086
1749923334.053243,17,17.22505760192871
1749927446.811975,18,17.116395950317383
1749931565.0115561,19,17.109756469726562
1749935700.272127,20,17.01395034790039
1749940017.8768482,21,16.97368812561035
1749944700.7075331,22,16.974573135375977
1749949409.596299,23,16.941125869750977
1749953801.546734,24,17.035322189331055
1749958169.537314,25,16.969554901123047
1749962421.037111,26,16.842958450317383
1749966597.282666,27,16.842815399169922
1749970740.1882,28,16.859209060668945
1749974864.439013,29,16.862390518188477
