Wall time,Step,Value
1750513695.72694,0,55.51445007324219
1750514985.950729,1,39.2695198059082
1750516298.708423,2,31.212324142456055
1750517591.810386,3,27.47551155090332
1750518885.95597,4,25.029054641723633
1750520180.033547,5,23.71649932861328
1750521474.176096,6,22.651994705200195
1750522767.919355,7,22.043315887451172
1750542035.493428,8,22.119585037231445
1750543428.102027,9,21.723588943481445
1750547793.590572,10,19.168630599975586
1750552335.730549,11,18.56935691833496
1750556730.614645,12,18.131643295288086
1750561135.750296,13,17.852975845336914
1750565414.917851,14,17.68834114074707
1750569689.908984,15,17.585899353027344
1750573916.35372,16,17.48543357849121
1750578123.218365,17,17.39935874938965
1750582314.472981,18,17.333566665649414
1750586526.732269,19,17.398630142211914
1750590694.093396,20,17.14397430419922
1750594847.352469,21,17.201200485229492
1750599012.966125,22,17.124305725097656
1750603153.176806,23,17.060588836669922
1750607416.4097679,24,17.077545166015625
1750611744.081841,25,16.95123291015625
1750616158.7595599,26,17.02434730529785
1750620626.200762,27,16.964458465576172
1750625418.378272,28,16.929859161376953
1750630090.167186,29,16.960468292236328
