Wall time,Step,Value
1750744114.998019,0,55.897640228271484
1750745515.701992,1,39.123687744140625
1750746911.698519,2,31.01366424560547
1750748303.867115,3,27.91205596923828
1750749682.481547,4,25.122596740722656
1750751071.476505,5,24.014915466308594
1750752447.519661,6,22.796173095703125
1750753816.043069,7,22.192251205444336
1750755208.793853,8,21.739532470703125
1750756580.028548,9,21.410900115966797
1750760976.772001,10,19.162677764892578
1750765539.2078211,11,18.53352928161621
1750770075.641408,12,18.13855743408203
1750774577.088748,13,17.958200454711914
1750779086.6892831,14,17.704954147338867
1750783996.8703659,15,17.57247543334961
1750789102.2079082,16,17.522357940673828
1750794584.888319,17,17.44750213623047
1750799274.570146,18,17.346946716308594
1750803944.5508559,19,17.277511596679688
1750808795.973829,20,17.262670516967773
1750813476.90166,21,17.25432586669922
1750818113.274487,22,17.158058166503906
1750822645.295224,23,17.09587860107422
1750827242.820804,24,17.148212432861328
1750831878.270625,25,17.039690017700195
1750836412.471421,26,16.9765625
1750840869.5558138,27,16.93719482421875
1750845298.1182668,28,16.99267578125
1750849718.624556,29,16.954301834106445
