Wall time,Step,Value
1750393244.648108,0,0.6343427300453186
1750395455.192731,1,0.7130727171897888
1750398368.115256,2,0.7620786428451538
1750401224.593179,3,0.7874769568443298
1750404823.312315,4,0.8027870059013367
1750408456.2592058,5,0.8109784722328186
1750412752.20855,6,0.8182910084724426
1750416996.041711,7,0.822501540184021
1750421987.8988092,8,0.8276702761650085
1750426988.913045,9,0.83023601770401
1750431261.339326,10,0.8304120898246765
1750435597.535208,11,0.8330893516540527
1750440150.407846,12,0.8346453905105591
1750444543.8491259,13,0.8356961011886597
1750448894.2592719,14,0.8365774750709534
1750453403.688287,15,0.8373432755470276
1750457802.088609,16,0.8378559350967407
1750462587.858082,17,0.8383844494819641
1750466837.8088279,18,0.8389201164245605
1750471047.370114,19,0.8392801880836487
1750475286.553427,20,0.8397110104560852
1750479461.077905,21,0.8400309085845947
1750483616.5842738,22,0.8404346108436584
1750487760.517996,23,0.8406738638877869
1750491885.5377789,24,0.8409435749053955
1750496002.1334882,25,0.8411745429039001
1750500111.20512,26,0.8413821458816528
1750504211.5523782,27,0.8415029644966125
1750508312.863772,28,0.8417081236839294
1750512402.29321,29,0.8419042229652405
